algorithm,configuration,n_clusters,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,ari,nmi
KMeans,k=2,2,0.0,0.33347043723989506,1.3802863969814665,4283.670533954565,0.11075251504129299,0.08158486261199853
DBSCAN,"eps=1.834593, min_samples=10",13,0.0318,0.2543767995547277,0.7166903121307145,1444.6671772264765,0.1274112090951476,0.11079016316309713
