model,fit_time_mean_s,fit_time_std_s,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std
XGBoost,19.129646492004394,0.0869470379235311,0.9625244489002522,0.0006856257849383467,0.9528221847502415,0.0014058567061385758,0.9657559893153331,0.001547485413777006,0.9796800837861973,0.0008599399058887586,0.9726670877407992,0.00047366038319759804,0.9947372359908611,0.0002861118525651064,0.9974985364820531,0.00013840147798479513,0.9133317600199273,0.001622590699493137
RandomForest,59.466119861602785,0.1375035844506061,0.9594162176778298,0.0009444263306988923,0.9472168463862918,0.0016175788014175963,0.9602475644132189,0.001695216992744398,0.9809872642011547,0.0012431771682198673,0.9705051555679762,0.0006686273994428546,0.9938827501701937,0.00028684734401926453,0.9970332995099251,0.0001427414299590786,0.9060331112291445,0.0022084314896865854
MLP,42.97468214035034,13.849030894067711,0.947536507920999,0.0015225387052367437,0.9343005393296149,0.0031914155840830627,0.9529023749020722,0.004323734328846213,0.9709403643735154,0.004800088866595501,0.9618205468165527,0.0011207913359715346,0.9906313408714759,0.0003993286176466622,0.9955193593465281,0.00018775516625426687,0.8784901799098283,0.0035629607255133018
SVM,25.158948040008546,2.6799082412504074,0.9357765742553138,0.001143969838713458,0.9037156272039935,0.0019236094793602958,0.9195548499760641,0.0016259931840346253,0.9924669686937013,0.00043369256195759993,0.9546198906504539,0.0007630355483644689,0.9840337571009181,0.0005895761273653153,0.9915057322442307,0.0004633153528689914,0.8525726750750524,0.002566095987359448
Dummy,0.41883325576782227,0.0075716476132053154,0.6806223301607396,4.072852109291715e-06,0.5,0.0,0.6806223301607396,4.072852109291715e-06,1.0,0.0,0.8099646398140438,2.883944941797366e-06,0.5,0.0,0.6806223301607396,4.072852109291715e-06,0.0,0.0
