feature,importance_mean,importance_std
sttl,0.10547472576500452,0.0029132973081369066
dbytes,0.027874342538575157,0.001161391098330629
dmean,0.022146222616615873,0.000892608632115304
sbytes,0.02205487368234144,0.0008688891535451902
ct_dst_src_ltm,0.02087170770517919,0.0014634964861919221
smean,0.017258244030218087,0.000669035796873374
service,0.014456646478572522,0.000994070953424974
synack,0.011607527322715321,0.0006503074129586827
ct_dst_sport_ltm,0.009608801491562157,0.00117032884757081
ct_dst_ltm,0.008562977450818916,0.000830269607614909
ct_srv_src,0.007584909195176833,0.001390513346617135
ct_src_dport_ltm,0.0074109033985061785,0.0008950632266749327
dur,0.00638573942312662,0.0006641176005394552
tcprtt,0.006226944037217789,0.0006243049498874982
rate,0.006089919980389465,0.0006007806073573828
sinpkt,0.005701923218826921,0.0006228011260728187
dloss,0.005017979850422479,0.0006995764249386058
sloss,0.004375174125733716,0.0005671046276329617
ct_srv_dst,0.0041331360999357965,0.0013013392263379413
djit,0.0034149972336296503,0.0007687424869700033
spkts,0.0028468110127137423,0.00035957804631893213
ct_src_ltm,0.0028319600134645738,0.000924303896226144
dload,0.0028186820880354477,0.0005071793675818789
ackdat,0.002655512488966723,0.0007389198732507971
response_body_len,0.0025960053976895898,0.00026791208026390515
proto,0.002368629050938879,0.0006989459420061638
dinpkt,0.0022487405577877578,0.0005048095330353933
state,0.0016417149272742366,0.0002549781276475071
stcpb,0.0015276740858206701,0.0005520758628408259
trans_depth,0.0011097848397553973,0.0004222630547388294
ct_flw_http_mthd,0.0009997655624173726,0.00036884957200967073
dpkts,0.0009366813151880852,0.00040314619399253076
sload,0.0008801683005735954,0.0003917109357976766
dtcpb,0.0008641144045247333,0.0006384795284745173
sjit,0.00029190857246110815,0.0010787737402542614
ct_ftp_cmd,3.0709758440135755e-05,5.4934013033715945e-05
dwin,0.0,0.0
is_sm_ips_ports,-1.843041070401785e-05,3.6860821408035695e-05
is_ftp_login,-6.143596786742923e-05,5.494533110217596e-05
ct_state_ttl,-0.00039803299992777024,0.0006876619297141439
swin,-0.0004302176721518114,0.00010472105986111426
dttl,-0.0038178362914028873,0.0006064427284328802
