algorithm,configuration,n_clusters,noise_fraction,silhouette,davies_bouldin,calinski_harabasz,ari,nmi
KMeans,k=2,2,0.0,0.33347043723989506,1.3802863969814665,4283.670533954565,0.11075251504129299,0.08158486261199853
KMeans,k=3,3,0.0,0.3334375806708275,1.2232989551812752,3640.222197050039,0.029239853283768533,0.1055554068769141
KMeans,k=4,4,0.0,0.33733272069598674,0.9684172904944095,3271.9340158180003,0.029400181140757944,0.105644501178664
KMeans,k=5,5,0.0,0.35972281549286184,1.102311140525035,3116.169581865411,0.14656987132594604,0.22165974515281203
KMeans,k=6,6,0.0,0.35692662889934934,1.0831172232255761,3086.3467745437683,0.14706137794688967,0.22313368585258828
KMeans,k=7,7,0.0,0.3908444952555109,0.8652869759578997,3028.627623311416,0.24055758657628953,0.3355054512997118
KMeans,k=8,8,0.0,0.4068902214023327,0.917643087321956,3315.4824186714723,0.1518244749320941,0.22409678179038453
KMeans,k=9,9,0.0,0.4157180474388689,0.9157110813775403,3417.0437100358877,0.1516640125554844,0.22269027822786439
KMeans,k=10,10,0.0,0.3815252992411914,0.9648825561358576,3247.5468522084075,0.13040102705370907,0.19645989091240573
